,agent1_P9,agent1_P5,agent1_P6,agent1_P7,agent1_P3,agent1_P4,agent1_P2,agent1_P0,agent1_P8,agent1_P1,[agent1_P3| agent1_P4| agent1_P5| agent1_P6| agent1_P7| agent1_P9],[agent1_P0| agent1_P2| agent1_P5],[agent1_P0| agent1_P5| agent1_P6| agent1_P8],[agent1_P0| agent1_P2| agent1_P3| agent1_P8],[agent1_P2| agent1_P3| agent1_P8],[agent1_P5| agent1_P9],[agent1_P0| agent1_P1| agent1_P2| agent1_P5| agent1_P9],[agent1_P5| agent1_P6],[agent1_P6],[agent1_P0| agent1_P2| agent1_P3| agent1_P4| agent1_P6| agent1_P7| agent1_P8| agent1_P9],[agent1_P0| agent1_P1| agent1_P2| agent1_P7| agent1_P8],[agent1_P0| agent1_P6| agent1_P7| agent1_P8],[agent1_P1| agent1_P2| agent1_P4| agent1_P6| agent1_P8| agent1_P9],[agent1_P4],[agent1_P0| agent1_P1| agent1_P2| agent1_P3| agent1_P4| agent1_P5| agent1_P7| agent1_P9],[agent1_P0| agent1_P1| agent1_P3| agent1_P4| agent1_P5],[agent1_P2| agent1_P3| agent1_P4],[agent1_P0| agent1_P2| agent1_P9],[agent1_P2| agent1_P3| agent1_P4| agent1_P8| agent1_P9],[agent1_P0| agent1_P3| agent1_P4| agent1_P5| agent1_P8],[agent1_P0| agent1_P2| agent1_P4],[agent1_P2| agent1_P4| agent1_P5| agent1_P6| agent1_P7| agent1_P8],[agent1_P0| agent1_P1| agent1_P8],[agent1_P1| agent1_P2| agent1_P6| agent1_P8| agent1_P9],[agent1_P0| agent1_P2| agent1_P4| agent1_P5| agent1_P6| agent1_P8| agent1_P9],[agent1_P3| agent1_P5| agent1_P8],[agent1_P9],[agent1_P0| agent1_P1| agent1_P2| agent1_P3| agent1_P4| agent1_P9],[agent1_P1| agent1_P3| agent1_P5],[agent1_P0| agent1_P1| agent1_P2| agent1_P4| agent1_P5| agent1_P6| agent1_P7| agent1_P8| agent1_P9],[agent1_P5| agent1_P6],[agent1_P1| agent1_P4| agent1_P5| agent1_P8| agent1_P9],[agent1_P0| agent1_P3| agent1_P5| agent1_P7],[agent1_P3| agent1_P8| agent1_P9]
Y:HIGH:05,-0.00919509987008722,-0.007540331696695874,-0.007536788061202901,16.887213882244893,-0.007042739681999865,7.798674389228326E-4,15.79918382812307,15.798574674682733,19.04721034510912,15.798073506690722,-0.008088899149656926,-0.009748062119999016,-0.008093295316865576,-0.00129291998201011,-0.008641573635425653,-0.007588621770812979,-0.009199220582005244,-0.007039200726391579,-5.533604563622613E-5,0.08729077650277081,5.391305458229205,-0.006983827917489242,-0.00919453559904888,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,-0.009247477271726862,-0.009752175099696414,-6.241389885886273E-5,0.019631646219132944,-0.00808833248345458,-0.007540337129733093,-0.00808833248345458,-0.007032124850182338,-0.008641858714791412,-0.008093293492357635,-5.571282345086435E-5,-0.009752580279348822,6.964102931358043E-4,0.09425419148401251,0.10802674837609019,-0.008705128664197552,-0.008088333063275242,
M:HIGH:03,-0.00919509987008722,-0.007540331696695874,13.63807351378037,16.877524381747225,-0.0075359066104875696,-0.009752175099696414,-0.008641292483454582,13.638574674682733,14.72722095650994,-0.007536505525503486,-0.007536788206380699,-0.009752175316865577,-0.008093295316865576,-0.007535939149656926,-0.009748345525503488,-0.007588621770812979,-0.007540695089617203,-0.0069829792943152435,7.798902565104561E-4,-0.00753650525217907,-5.177257750922191E-5,3.233016172082511,4.710000937986686E-6,6.474634806908922E-4,-0.009748342986535407,-0.007540335315937386,-0.009747213063497817,-6.238216360638605E-5,-0.009752175099696414,-0.008093293508636152,-0.008698052589993729,-0.00808889871479141,-0.00919453559904888,-5.884502783391285E-5,-0.009747495599048878,-0.007536761391937841,-0.008089464800949886,6.032556071693763E-4,-0.00919453559904888,-0.008088615599048879,-0.009199213492357637,-6.238941136322232E-5,-0.009195102119924952,-0.008641292483454582,
Y:HIGH:11,14.718077627402641,-0.007540331696695874,13.63807351378037,-0.009748345525503488,-5.885046643450275E-5,14.717520552173031,14.719183828123072,-0.008698052589993729,13.64722095650994,14.719736221747224,-0.007536788206380699,-0.009748062119999016,-0.009199220582005244,-0.00864625713066033,-5.530427189410933E-5,-0.0097486282063807,-0.007540695089617203,-5.530789577466505E-5,-0.00698737713066033,-5.5338047059576604E-5,0.09420628733169849,-0.006983827917489242,3.239944287176549,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,0.09425868862021503,-0.00974834523544495,0.10111477649906185,-0.008641858714791412,-0.00808833248345458,-0.00698737713066033,-0.006987802928584499,-0.0097486282063807,-0.007536761391937841,-0.008089464800949886,-5.571282345086435E-5,-0.009752580279348822,6.913258908340524E-4,-0.008641292483454582,-0.006987375316865574,-0.009195102119924952,-0.008641292483454582,
Y:HIGH:01,-0.008093293508636152,6.032574066972522E-4,-5.884502783391285E-5,-0.009748345525503488,0.12184724118265139,13.64721699159455,-0.00754033169577006,-0.008642424945757154,-5.177076278675127E-5,-0.007540717583715652,-0.007536788206380699,-0.009748062119999016,-0.009199220582005244,-5.571282345086435E-5,0.10802674837609019,-0.007588621770812979,-0.009199220582005244,-5.530789577466505E-5,-0.008089179870087218,-5.5338047059576604E-5,-0.008694541770795155,-0.007535939149656926,-5.571282345086435E-5,3.2313537428693397,-0.009748342986535407,-0.007540335315937386,-0.009747213063497817,-0.009247477271726862,-0.00974834523544495,-6.241389885886273E-5,-5.530789948361757E-5,-0.00808833248345458,-0.00698737713066033,-0.006987802928584499,-0.007536788206380699,-0.008641858714791412,-0.008089464800949886,-5.571282345086435E-5,-0.009752580279348822,-0.009752580279348822,-0.009199213492357637,-0.008089721392864128,-0.009199220582005244,-0.008641292483454582,
Y:HIGH:09,17.95807762740264,17.959732395576033,-0.007536788206380699,15.799732009689013,16.880229987590727,15.797520552173031,19.038631434789274,15.798574674682733,-6.238216360638605E-5,15.79973203218311,-0.007536788206380699,-0.009748062119999016,-0.00808889929431524,-0.00864625713066033,-5.530427189410933E-5,0.09425416885795186,-0.008705128664197552,-0.006983545090638087,-0.00698737713066033,-5.5338047059576604E-5,-5.1774216914330427E-5,-0.007535939149656926,-0.006987760198433723,-0.00864625713066033,5.390800779417995,-0.007540335315937386,-0.008646569853058842,-0.008641573635425653,0.10116616885795188,-0.009748345525503488,-5.530789948361757E-5,-0.00808833248345458,-0.00919453559904888,7.798902565104561E-4,-0.009747495599048878,-0.008641858714791412,-0.008089464800949886,-5.571282345086435E-5,-0.00919453559904888,-0.008088615599048879,-0.008705128664197552,-6.238941136322232E-5,-0.008705128664197552,-0.008641292483454582,
Y:HIGH:08,-0.008093293508636152,13.639732395576033,-0.009199213492357637,-5.530427560496083E-5,14.719732390142994,13.637520552173031,-0.008641292483454582,13.638630868557936,-0.006983261685429886,13.638073506690722,-0.007536788206380699,-0.008642139870087216,-0.008641292483454582,-0.00129291998201011,6.470892479239103E-4,-0.008145120726391581,-0.007540695089617203,-0.0069829792943152435,7.797770450798255E-4,-0.00753650525217907,-0.008694541770795155,-0.008698050776197553,-0.008642139870087216,-0.009747779294315244,-0.008641292483454582,3.232459664684063,5.585930450798254E-4,-0.009247477271726862,-0.00974834523544495,-0.008093293508636152,-5.530789948361757E-5,-0.00808833248345458,-0.008705128664197552,-0.006983262119924949,0.0942098489686155,-0.008641858714791412,-0.007540331696695874,-5.571282345086435E-5,-0.008089181974969805,-0.008093293508636152,0.09419883263109462,0.12190218874620516,-0.009199220582005244,-0.008641292483454582,
M:HIGH:11,-0.00919509987008722,-5.53115196528458E-5,-0.00808889871479141,-0.008148631532138302,14.720229987590727,13.639736222020549,13.638631434789273,-0.008698052589993729,-6.238216360638605E-5,-0.009199220582005244,6.917005704528265E-4,-0.008642139870087216,-0.008093295316865576,-5.176895455780434E-5,-0.009748345525503488,-5.530789948361757E-5,-0.007540695089617203,-0.0069829792943152435,-0.00698737713066033,-5.5338047059576604E-5,-0.008694541770795155,-0.006983827917489242,-0.008642139870087216,-0.009752175099696414,-0.009199220582005244,-0.007540335315937386,3.2302527869365023,-0.009247477271726862,-0.00974834523544495,-0.008093293508636152,-5.530789948361757E-5,6.913033986763667E-4,-0.0075356555990488796,-0.006987802928584499,-0.0097486282063807,-0.007536761391937841,-0.008093293492357635,-5.571282345086435E-5,0.09420982423949183,6.913486971833131E-4,-0.009199213492357637,-0.008089721392864128,-0.008705128664197552,-0.008641292483454582,
M:HIGH:01,15.799179433764092,-5.887501172483357E-5,-5.884502783391285E-5,-6.24139220279397E-5,-0.007042739681999865,-5.573567817640492E-5,14.718631434789273,14.718574674682735,-6.238216360638605E-5,7.356081695939963E-4,-0.007536788206380699,-0.0097486282063807,-0.008093295316865576,-0.00864625713066033,-5.530427189410933E-5,-0.008145120726391581,-0.007540695089617203,-0.006983545090638087,-0.008089179870087218,-5.5338047059576604E-5,-0.007540331694842347,-0.008641858714791412,-0.008642139870087216,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,4.311358426364574,-0.008089465235815921,-0.008093293508636152,-0.0075362221202216655,-0.00808833248345458,-0.00919453559904888,-0.006987802928584499,-0.007536788206380699,-0.007536761391937841,-0.008089464800949886,-0.007535939149656926,-0.00919453559904888,-0.008093291696695874,-0.008705128664197552,-0.008089721392864128,-0.009199220582005244,-0.008641292483454582,
O:HIGH:01,15.798077627402641,-5.53115196528458E-5,-0.009199213492357637,-6.24139220279397E-5,16.880229987590727,19.047216991594553,17.95918382812307,0.12184015604503627,16.88721034510912,5.589901704528264E-4,-0.007536788206380699,-0.008642139870087216,0.09420631906879356,-0.007535939149656926,-5.530427189410933E-5,-0.008641293063275128,-0.007540695137591535,-0.006983545090638087,-0.008089179870087218,6.913486971833131E-4,-5.530607126672419E-5,-0.006983827917489242,-0.008642139870087216,-0.00864625713066033,-0.009748342986535407,-0.007540335315937386,-0.009747213063497817,6.029430565104559E-4,5.39246321406084,-6.241389885886273E-5,-5.530789948361757E-5,-0.00808833248345458,7.355628479239105E-4,-0.006987802928584499,-0.0097486282063807,-0.008641858714791412,-0.008093293492357635,-5.571282345086435E-5,-0.009199531672197501,-0.008093291696695874,0.12185785257975873,-6.241391035108888E-5,-0.008705128664197552,-0.008641292483454582,
O:HIGH:05,-0.00919509987008722,19.03973239557603,-0.009199213492357637,-0.00974721306349774,15.800229987590727,17.968052572242346,-6.238940950684769E-5,16.878574674682735,16.887220956509942,-0.007540695089617203,-0.008641292483454582,-0.009748062119999016,0.016651668305157658,-5.571282345086435E-5,-0.008641573635425653,-0.007588621770812979,-0.007540695089617203,-0.006983545090638087,0.10181400907989474,-5.5338047059576604E-5,-0.008694541770795155,-0.006983827917489242,-0.008642139870087216,-0.00864625713066033,-0.009748342986535407,-0.007540335315937386,-0.009747213063497817,-0.008641573635425653,-0.008093295316865576,5.391906706491364,-0.008641576034136926,-0.00808833248345458,-0.00698737713066033,-0.009752512296816979,-0.0097486282063807,-0.008641858714791412,-0.008093293492357635,-5.571282345086435E-5,-0.009752580279348822,-0.009752580279348822,0.10181400907989474,-0.008089721392864128,-0.008705128664197552,-0.008641292483454582,
O:HIGH:03,-0.00919509987008722,-5.887501172483357E-5,-0.009199213492357637,-0.009748345525503488,-0.007042739681999865,13.637520552173031,13.638631434789273,13.638630868557936,-5.177076278675127E-5,-0.007540695089617203,-0.008641292483454582,-0.00864625713066033,-0.008641859294315244,-0.00864625713066033,-0.009748345525503488,-0.008641293063275128,-0.007540695089617203,-0.006983545090638087,-5.533604563622613E-5,-5.5338047059576604E-5,-5.530427189410933E-5,-0.006983827917489242,-5.177257658745394E-5,-0.00864625713066033,-0.009748342986535407,4.427043764766129E-6,-0.009747213063497817,-0.009247477271726862,-5.530789948361757E-5,-0.009199220582005244,3.2324637778797785,-0.00808833248345458,-0.00698737713066033,-0.006983262119924949,4.707602226713029E-6,-0.007536761391937841,-0.008093293492357635,-5.571282345086435E-5,-0.00919453559904888,-0.009752580279348822,-0.009752173492357637,-6.238941136322232E-5,-5.176532789410932E-5,6.955633416636125E-4,
M:HIGH:07,-6.238216360638605E-5,14.719732395576031,15.807277720384636,16.87973200968901,-0.007042739681999865,15.797520552173031,14.719183828123072,-0.008641858714791412,15.915292397715548,4.991152909057786E-6,-0.007536788206380699,4.4570258760691485E-6,-0.00808889929431524,-0.00864625713066033,-0.008641573635425653,-0.007588621770812979,0.10111123937071156,-0.008641859294315244,-5.533604563622613E-5,-0.00753650525217907,-0.008694541770795155,-0.006983827917489242,-0.008642139870087216,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,-0.009247477271726862,-0.0075367859391593465,-0.008093293508636152,6.471798333991393E-4,4.311911667516545,7.35937079388611E-4,0.10111477649906185,-0.007536788206380699,-0.007536761391937841,-0.008093293492357635,0.12185785257975873,-0.00919453559904888,-0.008093291696695874,-6.238939370083894E-5,-0.008089721392864128,-0.009199220582005244,-0.008641292483454582,
M:HIGH:02,-0.00919509987008722,-0.007540331696695874,0.006283668303304131,-0.00864625713066033,-0.009748345090638084,-0.009752175099696414,-0.008088899149656926,13.638630868557936,14.72722095650994,13.741531697069174,-0.007536788206380699,-0.009748062119999016,7.355628479239105E-4,-5.571282345086435E-5,-6.238941136322232E-5,-0.007588621770812979,-0.007540695089617203,-0.006983545090638087,-5.533604563622613E-5,-0.00753650525217907,-5.177257750922191E-5,6.470665986763665E-4,-0.006987760198433723,-0.00864625713066033,7.356308304312842E-4,-0.007540335315937386,-0.009747213063497817,6.032272465604193E-4,-0.009752175099696414,-6.241389885886273E-5,-5.530789948361757E-5,-0.00808833248345458,3.230805464400951,-0.00808833248345458,-0.0097486282063807,-0.007536761391937841,-0.008093293492357635,-5.884502783391285E-5,-0.00919453559904888,-0.009752580279348822,-0.008641292483454582,0.10111123937071156,-0.009195102119924952,-0.008641292483454582,
Y:HIGH:03,13.638077627402641,-0.007540331696695874,15.807213882244893,-0.008148631532138302,-0.0075359066104875696,-5.573567817640492E-5,14.719183828123072,-0.008641858714791412,13.64722095650994,14.71973203218311,-0.007536788206380699,-0.009752175316865577,-0.00808889929431524,-5.571282345086435E-5,-5.179707845527138E-5,-5.530789948361757E-5,-0.007540695089617203,-0.008093700436438677,-0.008089179870087218,-0.00753650525217907,-3.9940782105824647E-7,-0.007535939149656926,-0.008642139870087216,-0.00864625713066033,-0.009199220582005244,-0.00864625713066033,-0.009747213063497817,-5.884502783391285E-5,-0.00974834523544495,-0.007536505525503486,7.798449695999213E-4,4.424921572227664E-6,-0.00698737713066033,3.2330121970714156,-0.007536788206380699,-0.007536761391937841,-0.00919538538039105,-0.009199213492357637,-0.00919453559904888,-0.009752580279348822,-0.008705128664197552,-0.008089721392864128,-0.008705128664197552,-0.007540340582005241,
M:HIGH:12,15.798077627402641,14.719732395576031,14.829086736352622,-0.009748345525503488,-0.007540337129733093,14.717520552173031,13.638631434789273,15.798574674682733,13.64722095650994,-0.007540717583715652,-0.007536788206380699,-0.006987734980865619,-0.00808889929431524,4.1415161419732045E-6,-0.009748345525503488,-0.007588621770812979,-0.007540695089617203,-5.530789577466505E-5,7.798676420402791E-4,-0.00753650525217907,-0.008694541770795155,0.10116619146081969,-5.571282345086435E-5,-0.008641293063497818,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,-0.008641573635425653,-0.009752175099696414,-6.241389885886273E-5,0.08734700248042154,-0.00808833248345458,-0.00698737713066033,-0.00808833248345458,3.2302513717936194,-0.0097486282063807,-0.008093293492357635,-0.009199213492357637,-0.00919453559904888,-0.009752580279348822,-0.009199213492357637,-6.241391035108888E-5,6.471345348343909E-4,5.587062333991394E-4,
